"bmUnit","quantity","curtailment","potential","capacity","n_hours","tech_typ","cf","cuf","pf"
"T_RCBKO-2",950811.779,583.486131,951395.265131,290,15384,"Wind Offshore",0.426243019617336,0.000261573211307763,0.426504592828644
"T_RMPNO-1",743789.161,178.7666663,743967.9276663,200.1,15708,"Wind Offshore",0.473273142522194,0.000113749253651758,0.473386891775846
"T_RMPNO-2",715018.529,55.141671,715073.670671,200.1,15682,"Wind Offshore",0.45572069787068,3.51448246033851e-05,0.455755842695283
"T_RREW-1",263040.913,82.583333,263123.496333,83,15494,"Wind Offshore",0.409083209823935,0.000128434221719717,0.409211644045655
"T_RRWW-1",301240.052,0,301240.052,90.838,15554,"Wind Offshore",0.426415567298946,0,0.426415567298946
"T_SAKNW-1",142614.272,47899.85646061,190514.12846061,87,13994,"Wind Onshore",0.234278191474507,0.0786870176883853,0.312965209162892
"T_SANQW-1",112905.005,7179.36261054,120084.36761054,32.08,16471,"Wind Onshore",0.427355072491196,0.0271744997386777,0.454529572229874
"T_SGRWO-1",340297.918,852431.68994273,1192729.60794273,293,15990,"Wind Offshore",0.145269085840767,0.363892829751842,0.509161915592608
"T_SGRWO-2",92605.318,198433.7862166,291039.1042166,79,15928,"Wind Offshore",0.147189755799833,0.315396795415763,0.462586551215597
"T_SGRWO-3",201775.747,496086.51301534,697862.26001534,160,16013,"Wind Offshore",0.157509326016362,0.387252945275198,0.54476227129156
"T_SGRWO-4",175979.936,421110.87790106,597090.81390106,140,15941,"Wind Offshore",0.157706485522507,0.377383456765627,0.535089942288134
"T_SGRWO-5",110190.17,241975.7513458,352165.9213458,78,16017,"Wind Offshore",0.176399386549227,0.387370072096154,0.563769458645382
"T_SGRWO-6",432700.81,1114208.06053113,1546908.87053113,380,15835,"Wind Offshore",0.143818925431672,0.370334887916883,0.514153813348555
"T_SHRSW-1",527853.684,336.8749618,528190.5589618,158.4,15996,"Wind Offshore",0.416655366493138,0.000265908460858902,0.416921274953997
"T_SHRSW-2",538127.327,348.15829,538475.48529,158.4,16028,"Wind Offshore",0.42391670558215,0.000274266159536468,0.424190971741687
"T_SOKYW-1",595901.986,0,595901.986,235,15796,"Wind Onshore",0.321062690797024,0,0.321062690797024
"T_STLGW-1",166893.681,74219.0125434,241112.6935434,72,15656,"Wind Onshore",0.296112390350877,0.13168365082503,0.427796041175907
"T_STLGW-2",207667.218,84939.1809607,292606.3989607,82,15777,"Wind Onshore",0.321040381413512,0.131310600272858,0.45235098168637
"T_STLGW-3",184035.915,69851.12951583,253887.04451583,72,15907,"Wind Onshore",0.321374787829258,0.121978321067297,0.443353108896555
"T_STRNW-1",146285.009,63088.9435641,209373.9525641,70,16033,"Wind Onshore",0.260685566376491,0.112426947214406,0.373112513590897
"T_TDBNW-1",69956.246,3024.9250029,72981.1710029,28,14943,"Wind Onshore",0.334395684553685,0.0144593503068804,0.348855034860565
"T_THNTO-1",419198.393,148.45000367,419346.84300367,146,14735,"Wind Offshore",0.389714539513134,0.000138008937503196,0.389852548450637
"T_THNTO-2",404838.213,458.791664,405297.004664,149,14777,"Wind Offshore",0.367738375391105,0.000416747470334135,0.368155122861439
"T_TKNEW-1",1547102.577,9413.5401631,1556516.1171631,412,15398,"Wind Offshore",0.487739101472011,0.00296770989143086,0.490706811363441
"T_TKNWW-1",1591249.838,8816.9624490961,1600066.8004491,412,16077,"Wind Offshore",0.480469849891088,0.00266223726987903,0.483132087160968
"T_TRLGW-1",53560.837,0,53560.837,18.742,16501,"Wind Onshore",0.346378680101983,0,0.346378680101983
"T_TWSHW-1",96877.558,22132.01372003,119009.57172003,37.8,15876,"Wind Onshore",0.322864494808309,0.0737595122784583,0.396624007086768
"T_VKNGW-1",89561.879,98877.6306896,188439.5096896,105,8178,"Wind Onshore",0.208601192514179,0.230298782307003,0.438899974821181
"T_VKNGW-2",92043.342,125399.6417857,217442.9837857,105,8256,"Wind Onshore",0.212355440199336,0.289312573333564,0.5016680135329
"T_VKNGW-3",81628.505,114453.8918438,196082.3968438,105,8294,"Wind Onshore",0.187464271360823,0.262849545497721,0.450313816858544
"T_VKNGW-4",92272.451,120303.4663054,212575.9173054,109,8142,"Wind Onshore",0.207943072391654,0.271113123492413,0.479056195884067
"T_WDNSO-1",757848.852,199.025,758047.877,197,15729,"Wind Offshore",0.489153600013942,0.000128460701610688,0.489282060715552
"T_WDNSO-2",730946.381,168.90833,731115.28933,201,15738,"Wind Offshore",0.462136123929849,0.000106791199675786,0.462242915129525
"T_WDRGW-1",109380.743,26446.57710541,135827.32010541,42.8,15810,"Wind Onshore",0.323292199424238,0.078167068947874,0.401459268372112
"T_WHIHW-1",82795.697,12188.73286246,94984.42986246,27.52,15795,"Wind Onshore",0.380951512658554,0.0560816128082739,0.437033125466828
"T_WHILW-1",702178.55,21516.709029733,723695.259029733,309,15411,"Wind Onshore",0.294909154747828,0.00903683895344497,0.303945993701273
"T_WHILW-2",386891.903,4358.363767,391250.266767,206,15041,"Wind Onshore",0.24973286802481,0.00281325785054831,0.252546125875358
"T_WISTW-2",158509.484,38330.9010627,196840.3850627,61.5,16125,"Wind Onshore",0.319676277053003,0.0773043949080734,0.396980671961076
"T_WLNYO-2",675179.073,151.138333,675330.211333,183.6,15538,"Wind Offshore",0.473348684692052,0.000105958750786251,0.473454643442838
"T_WLNYO-3",1235306.23,0,1235306.23,330,15725,"Wind Offshore",0.476102030158501,0,0.476102030158501
"T_WLNYO-4",1332423.488,333.987226,1332757.475226,330,16044,"Wind Offshore",0.503321731903931,0.000126163363628809,0.50344789526756
"T_WLNYW-1",597498.021,388.53056,597886.55156,182,16080,"Wind Offshore",0.408327880515007,0.000265520310535236,0.408593400825543
"T_WTMSO-1",847222.969,0,847222.969,205,16295,"Wind Offshore",0.507247004692446,0,0.507247004692446
