"bmUnit","quantity","curtailment","potential","capacity","n_hours","tech_typ"
"T_SGRWO-5",110190.17,241975.7513458,352165.9213458,78,16017,"Wind Offshore"
"T_SGRWO-6",432700.81,1114208.06053113,1546908.87053113,380,15835,"Wind Offshore"
"T_SHRSW-1",527853.684,336.8749618,528190.5589618,158.4,15996,"Wind Offshore"
"T_SHRSW-2",538127.327,348.15829,538475.48529,158.4,16028,"Wind Offshore"
"T_SOKYW-1",595901.986,0,595901.986,235,15796,"Wind Onshore"
"T_STLGW-1",166893.681,74219.0125434,241112.6935434,72,15656,"Wind Onshore"
"T_STLGW-2",207667.218,84939.1809607,292606.3989607,82,15777,"Wind Onshore"
"T_STLGW-3",184035.915,69851.12951583,253887.04451583,72,15907,"Wind Onshore"
"T_STRNW-1",146285.009,63088.9435641,209373.9525641,70,16033,"Wind Onshore"
"T_TDBNW-1",69956.246,3024.9250029,72981.1710029,28,14943,"Wind Onshore"
"T_THNTO-1",419198.393,148.45000367,419346.84300367,146,14735,"Wind Offshore"
"T_THNTO-2",404838.213,458.791664,405297.004664,149,14777,"Wind Offshore"
"T_TKNEW-1",1547102.577,9413.5401631,1556516.1171631,412,15398,"Wind Offshore"
"T_TKNWW-1",1591249.838,8816.9624490961,1600066.8004491,412,16077,"Wind Offshore"
"T_TRLGW-1",53560.837,0,53560.837,18.742,16501,"Wind Onshore"
"T_TWSHW-1",96877.558,22132.01372003,119009.57172003,37.8,15876,"Wind Onshore"
"T_VKNGW-1",89561.879,98877.6306896,188439.5096896,105,8178,"Wind Onshore"
"T_VKNGW-2",92043.342,125399.6417857,217442.9837857,105,8256,"Wind Onshore"
"T_VKNGW-3",81628.505,114453.8918438,196082.3968438,105,8294,"Wind Onshore"
"T_VKNGW-4",92272.451,120303.4663054,212575.9173054,109,8142,"Wind Onshore"
"T_WDNSO-1",757848.852,199.025,758047.877,197,15729,"Wind Offshore"
"T_WDNSO-2",730946.381,168.90833,731115.28933,201,15738,"Wind Offshore"
"T_WDRGW-1",109380.743,26446.57710541,135827.32010541,42.8,15810,"Wind Onshore"
"T_WHIHW-1",82795.697,12188.73286246,94984.42986246,27.52,15795,"Wind Onshore"
"T_WHILW-1",702178.55,21516.709029733,723695.259029733,309,15411,"Wind Onshore"
"T_WHILW-2",386891.903,4358.363767,391250.266767,206,15041,"Wind Onshore"
"T_WISTW-2",158509.484,38330.9010627,196840.3850627,61.5,16125,"Wind Onshore"
"T_WLNYO-2",675179.073,151.138333,675330.211333,183.6,15538,"Wind Offshore"
"T_WLNYO-3",1235306.23,0,1235306.23,330,15725,"Wind Offshore"
"T_WLNYO-4",1332423.488,333.987226,1332757.475226,330,16044,"Wind Offshore"
"T_WLNYW-1",597498.021,388.53056,597886.55156,182,16080,"Wind Offshore"
"T_WTMSO-1",847222.969,0,847222.969,205,16295,"Wind Offshore"
