"q0.025","median","q0.975","observed","fit","cov_nonoise","cov_nonoise_is","cov_nonoise_oos","cov_noise","cov_noise_is","cov_noise_oos","aggr_in_ci"
585.974234698114,643.199963536306,699.813254814418,647.979171843431,643.268107157377,0.76,0.77,0.72,0.992,0.99,1,1
546.275751805042,593.019398432956,643.196091102904,589.233150911139,592.585710829138,0.812,0.835,0.72,0.984,0.995,0.94,1
753.461139949963,799.289430352907,846.369840994218,793.733984651735,798.77085977338,0.788,0.79,0.78,0.992,0.995,0.98,1
576.489652819573,629.371170845849,680.884179443546,623.795857021046,625.421310396584,0.768,0.78,0.72,0.968,0.985,0.9,1
119.404109689504,169.874481134621,220.218472643832,176.87840594154,165.358506046328,0.752,0.765,0.7,0.98,0.99,0.94,1
274.477747930154,330.191613936129,383.990023472732,331.233353070332,327.944192575949,0.792,0.805,0.74,0.984,0.99,0.96,1
276.15934494222,321.477890687047,364.964627911968,329.681266660755,326.028404122059,0.804,0.855,0.6,0.976,0.995,0.9,1
407.095374850691,448.83528315313,487.269595511021,450.60978487101,447.216775305573,0.804,0.825,0.72,0.98,1,0.9,1
557.872484016227,609.350770088577,662.658732091236,599.153403048401,610.429498685682,0.7,0.725,0.6,0.984,0.99,0.96,1
434.822092198562,484.978063148372,532.50371887508,501.940883309112,486.641321017485,0.692,0.745,0.48,0.964,0.995,0.84,1
291.425026233997,338.873966383175,384.568590822052,334.626487101419,340.247208697668,0.84,0.855,0.78,0.996,0.995,1,1
-87.2281080262394,-43.9292446410692,0.774491196492454,-43.441649804284,-43.8314453591319,0.816,0.855,0.66,0.988,1,0.94,1
722.214276865176,765.480299849977,808.458283361705,738.054398525993,764.280687790617,0.896,0.935,0.74,0.976,0.995,0.9,1
158.253080006772,203.937929501028,247.380126362728,199.45510080312,202.4602193871,0.832,0.87,0.68,0.984,0.995,0.94,1
684.341362264902,740.676701773092,795.335704530682,745.09195599889,740.790774486825,0.8,0.81,0.76,0.996,0.995,1,1
-84.3657926760694,-33.6183674774312,14.9099660571804,-38.436183874863,-36.3248612380045,0.796,0.83,0.66,0.972,0.985,0.92,1
468.736474182685,521.600112175979,573.563632459706,512.282940000839,517.418814982527,0.84,0.865,0.74,0.996,1,0.98,1
525.997255994939,577.111680973423,625.072776520585,596.985408630995,575.762718443744,0.768,0.78,0.72,0.992,0.995,0.98,1
491.30531534861,541.000539480204,590.721012343377,549.107657656833,539.689863261603,0.82,0.815,0.84,0.988,0.995,0.96,1
438.33051687975,489.851575356595,552.728519163597,490.232614051393,488.712594901052,0.764,0.78,0.7,0.984,0.985,0.98,1
273.448675266927,322.067802119257,371.371503693032,321.917824276763,320.117262735039,0.808,0.81,0.8,0.996,1,0.98,1
620.902994038923,669.829733978554,718.776093788942,677.745726238528,667.501785127358,0.808,0.81,0.8,0.988,0.995,0.96,1
218.508584224741,267.80858967317,312.967420984692,266.657121100721,267.87195687581,0.82,0.825,0.8,0.984,0.99,0.96,1
412.226540435958,465.720682355701,514.549066946812,481.455759176989,463.432405647939,0.8,0.83,0.68,0.984,0.995,0.94,1
623.265481061412,678.202459652047,728.499071871352,678.70121884062,679.900013073134,0.748,0.775,0.64,0.972,0.99,0.9,1
329.077488201373,385.612889502334,437.827120294452,388.759126766882,385.097490454206,0.776,0.75,0.88,0.984,0.985,0.98,1
575.03989125161,619.936335454834,666.356256173903,628.727558050074,620.007847391848,0.836,0.865,0.72,0.996,1,0.98,1
431.13974797459,473.959232297563,514.747323425807,487.007757114146,474.373540015099,0.828,0.87,0.66,0.968,0.99,0.88,1
786.052571773766,832.321464569361,881.072876024142,822.886085167824,831.607925398576,0.792,0.805,0.74,0.988,1,0.94,1
116.268496512519,167.247909963013,214.568226598175,176.487148503815,165.506404464129,0.82,0.83,0.78,0.98,0.995,0.92,1
